genus,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27
Longimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08E-05,0,0,0,0,0,0,7.05E-06,0,0,0,0,0
Filomicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-06,2.50E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Puniceicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83E-05,0,0,0,0,0,0,0,0,0,0
Paludibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-05,0,0,0,0,0,0,0,0,0,0,0,0
Aerosakkonema,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0
Candidatus Nitronereus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0
Candidatus Polarisedimenticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Oligoflexales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0
Symploca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0
Oceanicaulis,0,0,0,0,0,0,0,0,0,0,0,3.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Planococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Ekhidna,3.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Chlorobium] sp. (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Stellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27E-05,0,0,0,0,0,0,0,0,0,0,0,0
Dyella,3.27E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dethiosulfatarculus,0,0,0,0,0,0,0,1.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37E-05
Unclassified Nevskiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-05,5.00E-06,0,0,0,0,0,0,0,0,0,0,0
Aliiruegeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Desulfurellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Kofleriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0
Persicobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Anaerolineaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57E-05,0,0,0,0,0,0,0,0,0,0,0,0
Fischerella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-06,3.00E-05,0,0,0,0,0,0,0,0,0,0,0
Parvibaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-06,3.50E-05,0,0,0,0,0,0,0,0,0,0,0
Marinisporobacter,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Sungiibacteriota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Vogelbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86E-05,0,0,0,0,0,0,0,0,0,0,0,0
Sphingorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,0,0,1.37E-05
Mastigocoleus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-05,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Tethybacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.19E-05,0,0,0,0,0,0,0,0,0,0,2.84E-05,0
Mycoplasmopsis,0,4.08E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfocapsaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0
Flavitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Synechococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Brocadiia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Kentron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16E-05,0,0,0,0,0,0,0,0,0,0,0,0
Pantoea,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Lentisphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Geobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Gottschalkiaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfurospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Tannerellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacterales bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Planctobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Vicinamibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18E-05,0,0,0,0,0,0,0,0,0
Pseudomaricurvus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23E-05,0,0,0,0,0
Unclassified Rhodothermaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23E-05,0,0,0,0,0
Unclassified Lacipirellulaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23E-05,0,0,0,0,0
Marichromatium,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13E-05,1.19E-05,0,0,0,0,0,0,0,0,0,0,0,0
Propylenella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,1.41E-05,0,0,0,0,0
Unclassified Candidatus Giovannonibacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nostocaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46E-05,0,0,0,0,0,0,0,0,0,0,0,0
Ancylomarina,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,2.97E-06,0,0,0,0,0,0,0,0,0,0,0,0
Chromatiaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E-05,0,0,0,0,0,0,0,0,0,0,0
Maritimibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E-05,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E-05,0,0,0,0,0,0,0,0,0,0,0
Muriicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E-05,0,0,0,0,0,0,0,0,0,0,0
Mycoplasma,0,0,2.82E-05,0,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,0,0,0,0,0,0,0,0,0,0,0
Psychroflexus,0,0,0,0,0,0,0,0,0,4.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Fimbriimonadales,0,0,0,0,0,0,0,0,0,4.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87E-05,0,0,0,0,0,0,0,0
Castellaniella,0,0,0,0,0,0,0,1.91E-05,0,0,0,0,0,0,0,3.00E-05,0,0,0,0,0,0,0,0,0,0,0
Marivita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Bipolaricaulota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Uhrbacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05E-05,0,0,0,0,0,0,0,0,0,0,0,0
Natranaerovirga,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Terriglobia bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05
Aestuariivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
Ahrensia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
Caulobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
Sedimentitalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
Rhodophyticola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Tissierellia,0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcanivorax,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17E-05,0,0,0,0,0,0,0,0,0,0,0,0,1.37E-05
Opitutaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64E-05,0,0,0,0,0
Unclassified Dehalococcoidales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00E-05,0,0,0,0,0,7.05E-06,0,0,0,0,0
Unclassified Candidatus Yanofskybacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-05,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lysobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-05,0,0,0,0,0,0,0,0,0,0,0,0
Ignavibacteriae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lewinellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Puniceicoccales,0,0,0,0,0,0,0,0,0,0,2.56E-05,0,0,1.04E-05,0,0,0,0,2.44E-05,0,0,0,0,0,0,0,0
Thiocystis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05E-05,9.99E-06,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Saccharimonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-06,5.50E-05,0,0,0,0,0,0,0,0,0,0,0
Cutibacterium,0,0,0,0,0,0,0,0,0,0,0,6.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lentisphaeraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeromicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Bauldia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97E-05,5.00E-06,0,0,0,0,0,0,0,0,0,2.84E-05,0
Unclassified Desulfuromonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57E-05,0,2.83E-05,0,0,0,0,0,0,0,0,0,0
Schleiferiaceae bacterium (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,0,0,3.13E-05,0,0,0,0,0,0,0,0,0,3.29E-05,0,0,0
Unclassified Polyangiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38E-05,4.50E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Desulfomonilales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00E-05,0,0,0,0,0,0,0,0,0,0,0
Unclassified Yersiniaceae,0,0,5.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41E-05,0,0,0,0,0
Oceaniferula,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Isachenkonia,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Pontiellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Zobellella,0,0,0,0,7.42E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Hydrogenedentales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78E-05,0,5.65E-05,0,0,0,0,0,0,0,0,0,0
Phyllobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49E-05,0,0,0,0,0,0,0,0,0,0,0
Pararhizobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68E-05,0,0,0,4.87E-05,0,0,0,0,0,0,0,0
Deferribacteraceae bacterium (no genus in NCBI),0,0,0,0,0,5.52E-05,0,0,0,0,0,0,0,2.09E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Catalimonadaceae,0,0,0,0,0,0,0,7.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
