genus,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Unclassified Kordiimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69E-05,0,0,0,0,0,0,0
Unclassified Kallotenuales,7.86E-06,0,1.10E-05,0,0,0,0,1.84E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aestuariivivens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,0,0
Celeribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,0,0
Unclassified Puniceicoccaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73E-05,0,0,0,0,0,0,0,0
Unclassified Desulfobulbales,0,0,0,0,0,3.49E-05,0,0,0,0,0,0,0,0,0,0,0,3.24E-06,0,0,0,0,0,0,0,0,0,0,0,0
Psychrosphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04E-06,0,0,0,3.69E-05,0,0,0,0,0,0,0
Flavobacteriales bacterium (no genus in NCBI),0,0,0,2.35E-05,0,0,0,0,0,0,0,0,0,0,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyphomicrobiales bacterium (no genus in NCBI),0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15E-06,0,0,0,0,0,0,0
Unclassified Fimbriimonadales,5.24E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33E-05,0,0,0,0,2.65E-06,0,0,0,0,0,0,0,0,0,0
Unclassified Budviciaceae,0,0,5.52E-06,1.17E-05,0,0,1.75E-05,4.59E-06,0,0,0,0,0,0,0,0,0,0,0,2.65E-06,0,0,0,0,0,0,0,0,0,0
Algihabitans,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Methylococcales,0,0,0,0,0,0,3.50E-05,0,0,0,0,0,0,0,8.32E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Vicinamibacteria,0,0,0,0,0,3.49E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.99E-06,0,0,0,0,0
Xanthobacter,0,0,0,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E-05,0,0
bacterium SCSIO (no genus in NCBI),0,0,0,0,0,0,0,0,0,0,0,4.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schleiferiaceae bacterium (no genus in NCBI),0,0,0,0,0,3.49E-05,0,0,0,0,0,0,0,1.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanothece,0,0,5.52E-06,2.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87E-05,0,0,0,0,0,0,0,0
Virgibacillus,0,0,0,0,0,1.75E-05,0,0,0,0,2.69E-05,0,0,0,0,0,0,6.49E-06,0,0,0,0,0,0,0,0,0,0,0,0
Clostridioides,0,0,1.10E-05,0,0,0,0,0,0,0,0,0,0,1.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16E-05,0,0
Unclassified Hyellaceae,0,1.72E-05,5.52E-06,1.17E-05,0,0,1.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petrimonas,0,0,0,0,0,0,5.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Candidatus Delongbacteria,0,0,0,1.17E-05,0,0,1.75E-05,0,0,0,0,2.33E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
