"genus","B","Group","Class"
"Ruegeria",0.384763462297354,"IT","Intermediate"
"Allomuricauda",0.137494556413857,"IT","Intermediate"
"Unclassified Roseobacteraceae",0.849679631243664,"IT","Generalist"
"Unclassified Planctomycetota",0.800362944177578,"IT","Generalist"
"Sansalvadorimonas",0.672661020530964,"IT","Generalist"
"Unclassified Chloroflexota",0.566571651554438,"IT","Generalist"
"Unclassified Spirochaetota",0.735290862089921,"IT","Generalist"
"Unclassified Thiotrichaceae",0.770791420449158,"IT","Generalist"
"Unclassified Flavobacteriales",0.866833947774819,"IT","Generalist"
"Chlorobiales bacterium (no genus in NCBI)",0.0698450697312006,"IT","Specialist"
"Unclassified Bacteroidia",0.87373604075041,"IT","Generalist"
"Marinifilum",0.783315455018515,"IT","Generalist"
"Unclassified Pseudomonadales",0.761878255545124,"IT","Generalist"
"Unclassified Pseudanabaenaceae",0.851506672109037,"IT","Generalist"
"Unclassified Schleiferiaceae",0.795026654116456,"IT","Generalist"
"Pseudomonadota bacterium (no genus in NCBI)",0.197107980775669,"IT","Intermediate"
"Amphritea",0.582476693131214,"IT","Generalist"
"Unclassified Desulfobacterales",0.84299234084147,"IT","Generalist"
"Unclassified Rhodospirillales",0.107737099149537,"IT","Intermediate"
"Chlamydia",0.559651001632044,"IT","Generalist"
"Unclassified Arcobacteraceae",0.0626223304927906,"IT","Specialist"
"Unclassified Rhodobacterales",0.608213527254309,"IT","Generalist"
"Vibrio",0.111201014045234,"IT","Intermediate"
"Unclassified Acidobacteriota",0.306480151862157,"IT","Intermediate"
"Unclassified Candidatus Omnitrophota",0.0220815596799918,"IT","Specialist"
"Unclassified Flavobacteriaceae",0.560759979215907,"IT","Generalist"
"Unclassified Clostridia",0.845423813235887,"IT","Generalist"
"Unclassified Desulfovibrionales",0.7593566094192,"IT","Generalist"
"Enterobacter",0.70102128756909,"IT","Generalist"
"Unclassified Bacteroidota",0.319475238924096,"IT","Intermediate"
"Desulfovibrionales bacterium (no genus in NCBI)",0.747664550561912,"IT","Generalist"
"Unclassified Endozoicomonadaceae",0.656609410847208,"IT","Generalist"
"Endozoicomonas",0.72066884963325,"IT","Generalist"
"Prolixibacteraceae bacterium (no genus in NCBI)",0.653411892889654,"IT","Generalist"
"Unclassified Cohaesibacteraceae",0.866073744260634,"IT","Generalist"
"Phycisphaerales bacterium (no genus in NCBI)",0.849116450348259,"IT","Generalist"
"Unclassified Hyphomicrobiales",0.947745123292169,"IT","Generalist"
"Unclassified Phycisphaerales",0.849846582195908,"IT","Generalist"
"Unclassified Alphaproteobacteria",0.401004885746643,"IT","Intermediate"
