"Sample","Group","Habitat","Phylum_plot","Relative_abundance"
"ST-C2","ST-C","Subtidal Control","Campylobacterota",0.0641147522648473
"ST-C2","ST-C","Subtidal Control","Cyanobacteriota",0.0032994072251426
"ST-C2","ST-C","Subtidal Control","Ignavibacteriota",0.000503299407225143
"ST-C2","ST-C","Subtidal Control","Others",0.27303992841964
"ST-C2","ST-C","Subtidal Control","Planctomycetota",0.0629124259031428
"ST-C2","ST-C","Subtidal Control","Pseudomonadota",0.444217649032547
"ST-C2","ST-C","Subtidal Control","Spirochaetota",0.0913488424113634
"ST-C2","ST-C","Subtidal Control","Thermodesulfobacteriota",0.0281008835700705
"ST-C3","ST-C","Subtidal Control","Actinomycetota",0.000294369200487393
"ST-C3","ST-C","Subtidal Control","Bacillota",0.027046817883588
"ST-C3","ST-C","Subtidal Control","Bacteroidota",0.241274369669135
"ST-C3","ST-C","Subtidal Control","Campylobacterota",0.295908414565564
"ST-C3","ST-C","Subtidal Control","Cyanobacteriota",0.000678806589183616
"ST-C3","ST-C","Subtidal Control","Ignavibacteriota",0.000506725091386259
"ST-C3","ST-C","Subtidal Control","Others",0.206967177101884
"ST-C3","ST-C","Subtidal Control","Planctomycetota",0.0316966796325804
"ST-C3","ST-C","Subtidal Control","Pseudomonadota",0.0210539881900834
"ST-C3","ST-C","Subtidal Control","Spirochaetota",0.0170660910113413
"ST-C3","ST-C","Subtidal Control","Thermodesulfobacteriota",0.157506561064767
"ST-C4","ST-C","Subtidal Control","Actinomycetota",0.00323761611834732
"ST-C4","ST-C","Subtidal Control","Bacillota",0.0132493213458521
"ST-C4","ST-C","Subtidal Control","Bacteroidota",0.0769307399198067
"ST-C4","ST-C","Subtidal Control","Campylobacterota",0.165765945259383
"ST-C4","ST-C","Subtidal Control","Cyanobacteriota",0.00174333175603317
"ST-C4","ST-C","Subtidal Control","Ignavibacteriota",0.000124523696859512
"ST-C4","ST-C","Subtidal Control","Others",0.235075834931387
"ST-C4","ST-C","Subtidal Control","Planctomycetota",0.0717754588698229
"ST-C4","ST-C","Subtidal Control","Pseudomonadota",0.34781959006799
"ST-C4","ST-C","Subtidal Control","Spirochaetota",0.0285408313202002
"ST-C4","ST-C","Subtidal Control","Thermodesulfobacteriota",0.0557368067143177
"ST-C5","ST-C","Subtidal Control","Actinomycetota",0.00312349831811629
