"","Bn","P.val","P.adj","Below.LOQ","Taxon","class"
"Cyanobacteriota bacterium (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Cyanobacteriota bacterium (no genus in NCBI)","Specialist"
"Cyanothece",0.0886518622136739,3.0306088789136e-12,4.70514870014383e-12,"Y","Cyanothece","Generalist"
"Cyclobacteriaceae bacterium (no genus in NCBI)",0.21449851042701,1.6005565916302e-08,1.93929872742495e-08,"Y","Cyclobacteriaceae bacterium (no genus in NCBI)","Generalist"
"Cycloclasticus",0.0205825795883484,1.43217703266763e-14,4.7704514979038e-14,"Y","Cycloclasticus","Specialist"
"Cytophagales bacterium (no genus in NCBI)",0.405260106588461,0.000271979619597317,0.000288682887081277,"Y","Cytophagales bacterium (no genus in NCBI)","Generalist"
"Deferribacteraceae bacterium (no genus in NCBI)",0.0350877192982456,4.67704074666818e-14,9.67081111500688e-14,"Y","Deferribacteraceae bacterium (no genus in NCBI)","Specialist"
"Defluviicoccus",0.039832285115304,6.85367232227873e-14,1.37073446445575e-13,"Y","Defluviicoccus","Specialist"
"Dehalococcoidia bacterium (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Dehalococcoidia bacterium (no genus in NCBI)","Specialist"
"Deltaproteobacteria bacterium (no genus in NCBI)",0.153269537480064,3.0639489765699e-10,4.10318313236553e-10,"Y","Deltaproteobacteria bacterium (no genus in NCBI)","Generalist"
"Desulfarculaceae bacterium (no genus in NCBI)",0.0202270381836945,1.39082695256445e-14,4.75228326090563e-14,"Y","Desulfarculaceae bacterium (no genus in NCBI)","Specialist"
"Desulfobacter",0.286340403621797,9.90485664481603e-07,1.12846376699645e-06,"Y","Desulfobacter","Generalist"
"Desulfobacteraceae bacterium (no genus in NCBI)",0.426947368421053,0.0006445664128057,0.000679427887376319,"Y","Desulfobacteraceae bacterium (no genus in NCBI)","Generalist"
"Desulfobacterales bacterium (no genus in NCBI)",0.680239077399905,0.457155226413061,0.46271180927554,"Y","Desulfobacterales bacterium (no genus in NCBI)","Intermediate"
"Desulfobacula",0.234937581672088,5.47713329480651e-08,6.46527589953965e-08,"Y","Desulfobacula","Generalist"
"Desulfobotulus",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Desulfobotulus","Specialist"
"Desulfocapsaceae bacterium (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Desulfocapsaceae bacterium (no genus in NCBI)","Specialist"
"Desulfocarbo",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Desulfocarbo","Specialist"
"Desulfocicer",0.031578947368421,3.52011512952091e-14,7.80732556571709e-14,"Y","Desulfocicer","Specialist"
"Desulfogranum",0.043557168784029,9.23552617664502e-14,1.79994510166103e-13,"Y","Desulfogranum","Generalist"
"Desulfopila",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Desulfopila","Specialist"
"Desulforegulaceae bacterium (no genus in NCBI)",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Desulforegulaceae bacterium (no genus in NCBI)","Specialist"
"Desulforhopalus",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Desulforhopalus","Specialist"
"Desulfospira",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Desulfospira","Specialist"
"Desulfotignum",0.302294197031039,2.29622468666847e-06,2.59032242978857e-06,"Y","Desulfotignum","Generalist"
"Desulfovibrionales bacterium (no genus in NCBI)",0.725707218597401,0.791392564894651,0.795736102572449,"N","Desulfovibrionales bacterium (no genus in NCBI)","Intermediate"
"Desulfurellaceae bacterium (no genus in NCBI)",0.025471085120208,2.13959306698988e-14,5.67677274522711e-14,"Y","Desulfurellaceae bacterium (no genus in NCBI)","Specialist"
"Dethiosulfatarculus",0.023382545110796,1.80296868761108e-14,5.25546738650002e-14,"Y","Dethiosulfatarculus","Specialist"
"Draconibacterium",0.151629072681704,2.74046962962765e-10,3.6807480655996e-10,"Y","Draconibacterium","Generalist"
"Dyadobacter",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Dyadobacter","Specialist"
"Dyella",0.0487329434697856,1.3943267707284e-13,2.56466530519521e-13,"Y","Dyella","Generalist"
"Echinicola",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Echinicola","Specialist"
"Echinimonas",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Echinimonas","Specialist"
"Edaphobacter",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Edaphobacter","Specialist"
"Eilatimonas",0.170114696108908,9.47373501066478e-10,1.22917015152534e-09,"Y","Eilatimonas","Generalist"
"Ekhidna",0.0175438596491228,1.1144429423005e-14,4.08331894058903e-14,"Y","Ekhidna","Specialist"
"Endozoicomonas",0.194122341039091,4.48870383995045e-09,5.54878909230042e-09,"N","Endozoicomonas","Generalist"
"Enterobacter",0.734560150931709,0.864041900411686,0.864986208499568,"N","Enterobacter","Intermediate"
"Enterococcus",0.0334365325077399,4.0922918425695e-14,8.88279461562478e-14,"Y","Enterococcus","Specialist"
"Enterovibrio",0.224561403508772,2.94961297078847e-08,3.52721342198726e-08,"Y","Enterovibrio","Generalist"
"Erythrobacter",0.394590913512988,0.00017471030829118,0.000186086793482233,"Y","Erythrobacter","Generalist"
"Escherichia",0.366784600702354,5.21030907558504e-05,5.62365050362937e-05,"Y","Escherichia","Generalist"
