ko,IT1,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT-C1,IT-H1,IT2,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT28,IT29,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT5,IT-C5,IT-H5,IT6,IT-C6,IT-H6,IT7,IT8,IT9,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
K12452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,12,10,0,0,1,0,0,0,2,0,0,72,16,13,17,0,0,0,8,0,17,53,0,17,0,0,3,0,4,0,0,0,0,0,0
K12453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,2,0,0,5,2,0,0,6,0,0,48,4,12,10,0,0,0,0,2,7,0,0,4,0,0,2,0,0,0,0,0,0,0,0
K12454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,19,6,0,0,11,4,0,0,4,0,0,0,4,13,14,0,0,0,10,4,12,0,0,7,0,0,6,0,0,0,0,0,0,0,0
K12460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
K12487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,59,0,0,11,0,0,0,0,0,0,0,0,0,0
K12503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K12506,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,59,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,14,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
K12508,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,1,0,0,0,0,0,0
K12510,3,0,4,0,0,0,0,8,4,0,2,0,2,2,0,5,70,12,1,0,0,0,0,0,0,6,3,0,0,13,0,7,2,0,9,8,4,2,0,15,7,32,2,26,0,2,73,21,0,0,7,5,10,1,19,12,2,8,94,81,81,0,2,5,0,24,84,152,1,26,2,0,10,5,15,0,15,0,0,0,0
K12511,0,0,0,2,2,0,1,1,1,2,0,0,0,0,0,10,68,8,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,13,0,4,0,0,12,10,33,0,31,3,10,64,28,0,0,16,20,13,4,11,25,2,2,101,54,111,0,2,2,2,32,53,149,2,17,0,2,9,4,6,0,0,0,0,0,0
K12512,0,0,2,4,0,2,4,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,23,5,35,0,17,4,12,75,29,0,1,6,13,8,0,18,10,2,4,104,62,115,0,2,4,0,24,47,0,2,31,0,4,8,5,4,0,0,0,4,0,0
K12524,0,1,0,0,0,2,1,0,1,0,1,0,0,1,0,7,16,6,3,0,0,0,0,0,0,0,0,0,0,0,2,8,5,0,0,0,0,2,6,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,139,0,2,0,0,0,0,0,0,0,164,0,0,0,0,0,0,7,0,0,0,0,0,0
