"dataset","sample","habitat","reads","goods_coverage"
"KO","ST1C","Subtidal",60770,0.997334210959355
"KO","ST1H","Subtidal",76426,0.998887813047916
"KO","ST2","Subtidal",79501,0.999044037181922
"KO","ST20","Subtidal",51849,0.996991263090899
"KO","ST21","Subtidal",144650,0.999640511579675
"KO","ST22","Subtidal",113548,0.998617324831789
"KO","ST23","Subtidal",31255,0.994784834426492
"KO","ST24","Subtidal",189286,0.99948226493243
"KO","ST25","Subtidal",590752,0.999898434537674
"KO","ST26","Subtidal",471440,0.999845155268963
"KO","ST27","Subtidal",717384,0.999959575345979
"KO","ST28","Subtidal",60326,0.996717833106786
"KO","ST29","Subtidal",46948,0.995313964386129
"KO","ST2C","Subtidal",31086,0.997812520105514
"KO","ST2H","Subtidal",71051,0.998268849136536
"KO","ST3","Subtidal",155018,0.999632300765072
"KO","ST30","Subtidal",292735,0.999825780996464
"KO","ST3C","Subtidal",1381664,0.999984800935683
"KO","ST3H","Subtidal",25498,0.994666248333203
"KO","ST4","Subtidal",184606,0.99971831901455
"KO","ST4C","Subtidal",33848,0.996868352635311
"KO","ST4H","Subtidal",24427,0.99435051377574
"KO","ST5","Subtidal",85372,0.999297193459214
"KO","ST5C","Subtidal",49682,0.995712732981764
"KO","ST5H","Subtidal",102477,0.998438674043932
"KO","ST6","Subtidal",12950,0.992972972972973
"KO","ST6C","Subtidal",29379,0.997276966540726
"KO","ST6H","Subtidal",69581,0.998692171713543
"KO","ST7","Subtidal",41798,0.996530934494473
"KO","ST8","Subtidal",37869,0.998389183765085
"KO","ST9","Subtidal",32148,0.995271867612293
