genus,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,ST1,ST2,ST3,ST4,ST5,ST6,ST7,ST8,ST9,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30
Unclassified Desulfobacterales,0.003110878,0.002954481,0.001183432,0.002292492,0.002264039,0.004827054,0.003019133,0.004993234,0.005784605,0.002519251,0.006235944,0.003112289,0.002821145,0.005238498,0.001397018,0.001798741,0.002119602,0.005094584,0.003654347,0.00331776,0.002957583,0.001769051,0.004114037,0.002960137,0.004678971,0.00435067,0.006969647,0.000906587,0.002568434,0.00113652,0.002699467,0.000860664,0.005711691,0.00253736,0.000470956,0.000399042,0.002081611,0.003419494,0.002424695,0.002527119,0.000732982,0.001772459,0.001207153,0.001174251,0.000408633,0.000334798,0.000251516,0.001957638,0.002482223,0.000528658,0.000151266,0.001033894,0.0008853,0.003141428,0.002359103,0.003230766,0.001762574
Unclassified Rhodospirillales,0.006712948,0.001691185,0.001916033,0.001619695,0.0004825,0.002675567,0.001123398,0.004554897,0.001418865,0.001473524,0.002019015,0.002095402,0.001588606,0.001972263,0.070698003,0.002947936,0.002458738,0.002714327,0.007333057,0.001049496,0.005765415,0.000859857,0.008050169,0.001940534,0.000982006,0.002729832,0.003038051,0.000125769,8.62E-05,0.000308957,0.000316894,7.62E-05,0.000611343,0.001504917,0.000576634,4.79E-05,0.000171091,0.001346257,0.000128229,0.000223487,0.000125296,0.00094864,0.000280733,2.95E-05,8.43E-05,0.000124529,4.24E-05,0.001736852,0.00083985,0.000178268,6.25E-05,0.000114877,0.000172741,0.000192332,0.000173145,0.000111406,4.96E-05
Chlamydia,0.006811186,0.005216186,0.014060299,0.008721437,0.018780388,0.004551222,0.014920133,0.007337386,0.009140768,0.005585132,0.001022286,0.015561445,0.002054232,0.001314842,8.32E-05,0.000154892,0.000763057,0.00263081,0.000487246,0.001049496,0.001385197,0.006082434,0.00373599,0.006939876,0.007018456,0.006142122,0.005746178,7.07E-05,0,0,0.000105631,3.05E-05,3.49E-05,3.50E-05,1.15E-05,1.06E-05,8.55E-05,5.39E-05,2.33E-05,3.44E-05,0,1.66E-05,0.000112293,0,0,2.04E-05,5.30E-06,5.89E-05,0.000130643,1.23E-05,1.64E-05,9.99E-06,0,0.000256443,4.33E-05,8.91E-05,0
Unclassified Arcobacteraceae,0.001080621,0.002832226,0.000704424,0.001021654,0.000705192,0.022535444,0.001439354,0.000952907,0.001609867,0.00102196,0.001814557,0.000893628,0.005724459,0.092967682,0.001046277,0.000219846,0.001102193,0.002004426,0.002801666,0.004638093,0.00149751,0.000338305,0.001400996,0.002499671,0.001184184,0.001308044,0.000618608,9.43E-05,0.000775702,0.000281372,0.001314523,0.000213262,0.003126583,0.000857453,3.45E-05,8.51E-05,0.000969517,0.00183091,0.001410519,0.000567312,0.000306975,0.000640748,0.000645687,0.000962984,0.000312961,8.98E-05,9.66E-05,0.00048573,0.002500887,4.30E-05,6.58E-05,0.000159829,0.000226723,0.001410437,0.000627651,0.000646153,0.0004965
Unclassified Rhodobacterales,0.004879167,0.003871388,0.00397295,0.003264309,0.003117693,0.006371711,0.003967,0.004307141,0.003847308,0.00313718,0.005980372,0.00597806,0.004683648,0.003088835,0.002811869,0.02667133,0.004295727,0.008435295,0.007552318,0.005247478,0.005054098,0.002537284,0.007205124,0.004802,0.00375473,0.006653965,0.007643242,0.000351106,0.000775702,0.00043585,0.001537523,0.000662635,0.002951914,0.000962447,0.000404333,0.000420325,0.000912487,0.001507808,0.001095775,0.000618886,0.000488654,0.000723962,0.001908986,0.000201441,0.00045728,0.000442995,0.00037595,0.001000898,0.00201564,0.000657749,0.000420913,0.00050446,0.000615391,0.00083344,0.000627651,0.001024933,0.004816047
Vibrio,0.002292226,0.001548555,0.002282333,0.002566594,0.003488847,0.027252165,0.002738283,0.001962989,0.002401157,0.002352885,0.003705786,0.0029274,0.004930156,0.084629914,0.000805514,0.000384731,0.002995704,0.004760513,0.002290058,0.005823008,0.002133952,0.000789377,0.001867995,0.003519274,0.002512781,0.00341229,0.001360937,0.00067863,0.001603117,0.001368238,0.00055163,0.001051076,0.001222686,0.001329927,0.000879883,0.001111998,0.001254669,0.001669359,0.001993379,0.000773608,0.001033692,0.001797424,0.002386233,0.001139859,0.001336166,0.000934986,0.001149031,0.000750673,0.001325097,0.001192555,0.001203548,0.001098824,0.001230783,0.001025773,0.000454506,0.000467904,0.001886699
Unclassified Acidobacteriota,0.00392953,0.024858389,0.001493378,0.002417084,0.0014475,0.017680808,0.001930841,0.003544815,0.001664438,0.002614317,0.001737886,0.002650068,0.002026842,0.003506245,0.025824017,0.048745878,0.005228352,0.002923122,0.013740346,0.00165888,0.007412676,0.001642187,0.002957659,0.001743192,0.001732952,0.009412233,0.005773672,9.69E-05,0.000172378,0.000297923,0.000610314,0.003214161,0.000296938,0.000962447,0.000420414,0.001808992,0.000256637,0.000673129,4.66E-05,0.000103148,0.00045733,0.000424392,0.000224587,9.83E-05,0.001188604,0.000302135,0.000166795,0.001236403,0.000466583,0.000190563,9.54E-05,0.000389583,0.000356279,0.000384665,8.66E-05,0.000267374,0.0004965
Unclassified Candidatus Omnitrophota,0.000392953,0.000264884,0.000676247,0.004410555,0.000630962,0.000744745,0.000351062,0.000571744,0.00046386,0.000380264,0.001277857,0.000770369,0.0010682,0.001398324,0.000493415,0.189477366,0.000904364,0.00075166,0.00063342,0.001218769,0.000823631,0.013377125,0.001534424,0.001874753,0.001039771,0.000909944,0.01252337,5.24E-06,8.62E-05,7.72E-05,0.000340368,0.000464606,0.000384273,3.50E-05,1.61E-05,6.92E-05,0.000285152,0,0.000279772,0.000343826,0.000119031,8.32E-06,0,9.83E-05,0.000368094,7.55E-05,0.000420958,0.000367977,0.00011198,0.001174113,2.30E-05,6.49E-05,8.64E-05,0.000256443,0.000173145,0.000378779,0.00014895
Unclassified Flavobacteriaceae,0.005992534,0.024593504,0.001775148,0.002442002,0.002969231,0.029513985,0.005827629,0.00524099,0.00390188,0.004182907,0.006057044,0.011000863,0.003697617,0.005019357,0.003183417,0.015599081,0.013480669,0.008101224,0.010865593,0.003216196,0.013252967,0.002826252,0.003135563,0.005163794,0.002917136,0.005345921,0.017994611,0.000254159,0.000586086,0.000485504,0.001760522,0.000236111,0.004192067,0.00145242,0.000643257,0.000164937,0.001939034,0.00183091,0.000932575,0.001684746,0.000776835,0.00035782,0.00092642,0.003778239,0.000210803,0.000324591,0.000246221,0.002355054,0.001829007,0.000215152,9.21E-05,0.000599359,0.000507428,0.002179767,0.00157995,0.001158619,0.00074475
Unclassified Clostridia,0.011559369,0.009454338,0.012792336,0.009543744,0.010318079,0.011750428,0.016464806,0.006937165,0.012278643,0.005276167,0.008357187,0.012603229,0.010435497,0.015705058,0.00157536,0.001663835,0.009439295,0.011943041,0.004823739,0.013745006,0.013178091,0.002960165,0.008961928,0.013945533,0.014008029,0.010208434,0.00373914,6.55E-05,0.000448183,0.000226201,0.000633788,0.000198029,0.000611343,0.000349981,2.99E-05,0.000122373,0.000342183,0.000269251,0.00037303,0.000412591,6.26E-05,0.000133142,0.0004211,0.000397968,4.70E-05,0.000106156,3.18E-05,0.000397415,0.00083985,0.000104502,0.000115093,5.49E-05,0.000226723,0.000448775,0.000303004,0.000289655,0.000570975
Unclassified Desulfovibrionales,0.004191499,0.003035984,0.013017751,0.009842765,0.008388079,0.006233795,0.006178691,0.00421185,0.007967475,0.006678391,0.007564915,0.007611241,0.008655163,0.001659205,0.000350741,0.000339762,0.010908885,0.006890216,0.000901406,0.006737084,0.00786193,0.001902963,0.006093222,0.008683068,0.014123559,0.007165809,0.004495216,0.003175676,0.009136041,0.002118562,0.009401188,0.00384633,0.016261725,0.010586918,0.001183133,0.00188348,0.013288089,0.013112547,0.005700364,0.015523733,0.002837955,0.003744633,0.006849892,0.001469042,0.000977801,0.001175877,0.000845888,0.007933587,0.007931916,0.001469178,0.000795788,0.001613274,0.00362757,0.020900115,0.009912562,0.002562331,0.009284544
Enterobacter,0.008317506,0.00601084,0.014990138,0.011736563,0.015291541,0.011722844,0.011655257,0.007223037,0.008458621,0.007486453,0.01047843,0.009367681,0.009613804,0.00285926,0.001180034,0.00039972,0.014215465,0.030776298,0.001120667,0.01997427,0.014750477,0.002502044,0.006827077,0.011708986,0.016954048,0.012341115,0.00504509,0.002562551,0.00291319,0.002984745,0.003215887,0.006862461,0.010550034,0.003289819,0.000532984,0.001537643,0.004305797,0.009019925,1.17E-05,0.010056903,0.001209107,0.002063709,0.000224587,4.91E-06,0.000760512,0.00073084,0.000534803,0.002296177,0.002426233,0.000995845,0.000519564,0.000953979,0.002018915,0.020900115,0.012055233,0.001448274,0.002308723
Unclassified Bacteroidota,0.006287249,0.009596968,0.004790082,0.007002068,0.008350963,0.013212335,0.009268036,0.008271236,0.006439466,0.005989162,0.00904723,0.007765315,0.012681457,0.012125766,0.007020756,0.006455481,0.008224056,0.013362843,0.0896046,0.006398537,0.010257946,0.003538102,0.009918164,0.008222602,0.009213529,0.007478602,0.004220279,0.000639328,0.002740812,0.002449588,0.005645407,0.000807348,0.012314195,0.004952228,0.0007788,0.001048151,0.007043258,0.006865913,0.002086636,0.003850848,0.001647643,0.002513065,0.004042559,0.018507964,0.000527007,0.000694094,0.000889573,0.008242688,0.009574289,0.001118788,0.000315685,0.001553338,0.002342805,0.007308629,0.003787551,0.002473207,0.004245072
