genus,IT1,IT9,IT10,IT11,IT12,IT13,IT14,IT15,IT16,IT17,IT18,IT-C1,IT-H1,IT2,IT19,IT20,IT21,IT22,IT23,IT24,IT25,IT26,IT27,IT-C2,IT-H2,IT3,IT-C3,IT-H3,IT-C4,IT-H4,IT4,IT-C5,IT-H5,IT5,IT-C6,IT-H6,IT6,IT7,IT8,ST1,ST10,ST11,ST12,ST13,ST14,ST15,ST16,ST17,ST18,ST19,ST-C1,ST-H1,ST2,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST-C2,ST-H2,ST3,ST30,ST-C3,ST-H3,ST4,ST-C4,ST-H4,ST5,ST-C5,ST-H5,ST6,ST-C6,ST-H6,ST7,ST8,ST9
Unclassified Kitasatosporales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,10,0,0,0,2,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Kofleriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Kordiimonadaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Kordiimonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lachnospiraceae,0,0,0,0,0,1,0,1,0,0,1,11,13,0,0,2,0,0,0,2,0,1,0,10,22,1,10,8,15,0,7,22,8,2,2,9,0,0,3,0,0,2,3,0,19,10,0,0,0,0,10,13,0,10,1,0,0,2,0,0,0,0,0,2,0,0,0,100,8,0,3,7,2,26,15,0,0,6,4,2,4
Unclassified Lachnospirales,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,9,0,0,0,0,0,0
Unclassified Lacipirellulaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0
Unclassified Lactobacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lactobacillales,2,4,5,4,6,2,0,2,7,2,3,2,2,4,0,0,0,1,0,0,10,0,0,4,4,13,2,2,2,0,1,0,12,3,2,2,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,72,0,0,2,0,0,25,0,0,8,4,0,6,2,0,14,0,0,0,0
Unclassified Legionellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Legionellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lentimicrobiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,0,0
Unclassified Lentisphaeraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lentisphaerales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lentisphaeria,0,3,0,0,0,2,0,4,3,0,0,0,0,0,0,645,1,1,0,0,0,0,2,0,0,0,0,3,0,2,0,1,7,1,2,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,84,0,0,0,0,0,5,6,0,0,0,0,0,0
Unclassified Lentisphaerota,4,5,0,0,0,0,2,5,2,0,9,2,0,0,0,432,0,0,0,5,2,1,2,0,0,0,0,1,0,0,8,5,8,0,0,0,0,0,10,0,1,5,9,2,0,2,0,0,4,2,29,4,1,2,0,0,1,2,2,2,9,1,3,0,2,0,0,330,3,3,2,2,0,6,18,0,3,2,0,2,0
Unclassified Leptolyngbyaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Leptospiraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Leptotrichiaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lewinellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Longimicrobiales,0,2,0,1,4,4,0,2,5,1,4,0,0,0,0,2,13,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Unclassified Longimicrobiia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lysobacteraceae,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,8,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Lysobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Magnetococcales,3,3,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,5,6,0,2,0,0,0,0,1,0,0,2,4,0,2,4,2,4,10,2,2,2,2,0,0,0,0,0,4,0,4,0,0,6,0,1,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,2
Unclassified Maricaulaceae,2,1,0,0,0,2,0,0,0,0,0,0,0,0,36,0,51,1,0,0,4,0,7,0,0,0,4,0,0,0,3,1,0,0,0,0,0,2,2,0,0,2,0,0,0,0,1,0,0,0,2,14,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0
Unclassified Maricaulales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Marinifilaceae,28,104,23,25,47,64,52,54,31,57,63,23,84,68,50,424,129,63,61,83,53,45,23,62,34,62,39,36,43,66,41,1115,199,40,1306,592,26,60,34,24,23,65,42,12,38,38,16,21,51,11,189,60,176,9,45,78,110,74,47,20,32,27,42,124,2853,16,14,89090,201,42,682,129,31,261,1975,8,91,746,8,23,10
Unclassified Marinilabiliaceae,2,5,1,0,2,14,1,4,2,2,15,0,0,3,0,26,14,3,2,5,9,2,0,0,2,9,0,1,1,0,6,82,25,4,135,18,0,4,0,18,6,121,41,0,4,22,52,0,4,3,26,11,4,1,0,65,8,361,2,2,5,4,8,8,359,24,0,11730,19,16,66,3,1,22,812,0,5,106,0,2,42
Unclassified Marinilabiliales,37,41,22,13,24,54,26,52,35,30,62,8,25,29,25,120,27,18,8,60,27,30,14,19,23,25,9,18,27,23,54,262,210,18,249,68,22,26,29,29,38,105,33,191,38,15,22,271,11,12,54,27,37,11,354,41,7,1551,21,16,345,9,205,32,624,134,2,17729,99,371,158,35,87,68,460,4,24,123,2,12,23
Unclassified Marinobacteraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Melioribacteraceae,0,2,0,0,2,4,0,6,4,0,5,0,0,2,0,4,4,3,1,1,0,0,0,0,4,2,0,0,0,0,5,13,15,0,0,0,0,1,1,0,0,1,13,0,2,0,0,0,0,0,26,8,2,0,4,3,0,1,2,1,2,0,0,0,90,0,0,1,4,2,0,0,1,28,16,1,0,0,3,0,1
Unclassified Metamycoplasmataceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Methylobacteriaceae,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Methylococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,2,0,0,0,0,0,0
Unclassified Methylococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Methylocystaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Methylopilaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Microbulbiferaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Micrococcales,0,0,0,0,0,0,1,1,2,0,0,1,0,0,0,2,4,1,1,0,0,0,0,0,0,7,0,0,0,0,0,3,4,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0
Unclassified Microcystaceae,0,6,2,0,0,2,2,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,4,5,1,0,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,32,0,0,0
Unclassified Micromonosporales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Microscillaceae,11,13,5,5,10,3,8,31,23,7,61,8,3,9,0,6,6,6,0,19,7,3,3,4,6,8,2,3,49,8,35,27,63,11,11,10,9,23,9,1,3,17,18,3,12,3,5,4,5,1,58,20,11,1,5,3,4,10,10,1,17,2,4,2,6,2,7,4,3,18,12,4,8,44,32,1,6,103,2,2,2
Unclassified Minwuiales,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,184,0,0,12,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Mollicutes,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,91,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,860,0,0,1,0,0,0,0,1,0,1,3,0,0,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Unclassified Moraxellaceae,4,0,6,4,6,0,0,0,0,0,6,0,0,2,38,2,0,0,12,0,0,16,16,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,3,2,0,0,0,0,1,0,1,0,0,0,1,3,6,0,0,0,0,1,9,28,0,4,0,0,0,0,1,0,0,0,0,0,0
Unclassified Moraxellales,0,2,0,4,2,4,0,1,3,0,6,0,2,2,29,0,0,8,0,4,0,0,20,2,0,0,3,0,4,2,0,2,2,4,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,22,0,0,6,0,0,10,2,0,2,0,0,8,4,0,12,0,0,0,0
Unclassified Morganellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0
Unclassified Moritellaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Muribaculaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Mycobacteriaceae,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Mycobacteriales,8,0,2,0,2,6,0,0,0,6,7,4,0,8,0,2,2,11,4,4,3,4,12,1,0,3,0,2,6,0,6,6,4,4,0,2,0,6,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Unclassified Mycoplasmataceae,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Mycoplasmatales,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,7,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Unclassified Mycoplasmatota,0,0,40,0,0,0,0,26,2,0,0,0,0,0,0,236,171,17,0,0,2,0,0,2,0,2,0,0,0,0,0,8,2,0,0,0,0,0,0,3148,0,2,0,0,8,14,0,0,0,4,13,22,22,0,100,60,0,0,2,0,0,26,2,4,0,1,12,28,50,105,50,61,2,1,0,1,94,48,0,0,4
Unclassified Mycoplasmoidales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Myxococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Myxococcales,6,2,15,10,5,7,14,3,24,4,16,3,6,10,8,11,55,10,9,2,8,11,8,2,12,17,6,7,22,4,14,23,18,18,6,6,7,16,10,0,6,0,0,2,4,0,0,0,0,2,2,0,0,1,0,1,4,2,1,0,0,0,0,0,0,0,1,45,0,0,0,0,2,3,22,0,0,0,0,0,0
Unclassified Myxococcia,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Myxococcota,10,18,4,10,7,12,4,29,6,8,17,2,2,8,7,19,80,172,12,20,4,2,4,9,0,16,14,7,17,7,14,25,67,0,8,16,8,18,9,8,1,0,29,0,26,6,0,4,2,5,26,3,0,11,3,28,1,4,0,0,2,2,2,6,0,0,0,104,5,0,10,2,3,8,39,0,0,7,2,8,4
Unclassified Nannocystaceae,2,7,5,6,6,2,4,6,1,4,6,6,0,6,4,10,12,15,6,0,3,2,2,4,4,6,5,6,4,4,4,0,5,6,2,6,0,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,2,1,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0
Unclassified Natronincolaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Neisseriaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,2,0,0,2,0,2,1,0,0,0,0,18,6,18,0,0,0,0,0,17,0,0,0,0,0,0,2,4,0,0,0,0,1,0
Unclassified Neisseriales,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,2,0,22,0,0,0,4,4,0,0,2,0,0,0,18,2,8,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nevskiales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nitrobacteraceae,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nitrosomonadales,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,10,4,0,0,0,8,6,6,0,3,0,5,0,4,0,0,0,16,26,14,8,0,0,0,8,4,32,0,6,1,0,2,0,0,0,0,0,0,2,0
Unclassified Nitrospinota,0,0,2,0,0,1,0,3,2,0,3,0,0,0,0,2,11,25,0,1,0,0,1,0,0,2,0,0,0,0,17,1,12,0,0,0,2,1,10,0,3,0,0,0,0,0,0,0,0,0,7,0,1,0,2,0,0,0,0,4,0,2,0,1,5,0,0,13,0,1,0,0,0,4,0,0,4,0,0,0,0
Unclassified Nitrospiraceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nitrospirales,0,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,32,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nitrospiria,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,8,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Nitrospirota,2,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,70,67,1,0,0,0,5,0,0,0,0,0,0,0,0,6,0,1,0,0,0,2,131,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,148,4,0,0,0,0,0,6,0,0,0,0,0,0
Unclassified Nostocaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,8,0,0,0,3,0,0,0,0,0,0
Unclassified Nostocales,2,0,6,0,2,13,2,4,11,2,3,0,4,0,4,4,36,52,2,4,15,0,0,0,0,0,0,0,4,0,1,3,11,3,1,4,0,2,0,0,2,6,0,2,0,0,0,0,0,2,1,0,0,2,1,0,0,0,3,5,0,2,0,0,0,0,2,25,0,0,0,1,2,0,21,2,0,0,0,2,2
Unclassified Novispirillaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unclassified Oceanospirillaceae,27,58,0,1,0,3,4,63,19,48,30,1,6,22,16,48,13,2,17,6,24,35,1,57,30,83,116,1,10,78,10,45,29,2,19,11,1,16,1,205,2,12,122,29,10,10,32,25,77,9,28,25,17,147,19,112,36,5,148,170,98,200,111,34,38,32,53,536,22,18,18,29,29,57,107,1,76,28,123,196,54
