"KO","logFC","logCPM","F","PValue","FDR","direction","paths"
"K03405",4.99977436859865,4.62167061975542,46.8004100255066,1.18611445645181e-08,1.64881099205825e-07,"Intertidal-enriched","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"K01768",4.14933811337625,7.24827075784562,40.4803909536943,1.25851443134353e-08,1.70184972231301e-07,"Intertidal-enriched","Metabolism; Nucleotide metabolism; Purine metabolism | Cellular Processes; Cell growth and death; Meiosis - yeast | Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa | Organismal Systems; Aging; Longevity regulating pathway - multiple species"
"K07749",4.78520441241456,5.9832194085229,40.4794374436866,1.25891835583385e-08,1.70184972231301e-07,"Intertidal-enriched","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"K08727",4.2593829438089,4.19411466271552,46.633832261105,1.23874911501426e-08,1.70184972231301e-07,"Intertidal-enriched","Organismal Systems; Immune system; NOD-like receptor signaling pathway | Human Diseases; Infectious diseases: Bacterial; Epithelial cell signaling in Helicobacter pylori infection | Human Diseases; Infectious diseases: Bacterial; Shigellosis | Human Diseases; Infectious diseases: Bacterial; Pertussis | Brite Hierarchies; Protein families: signaling and cellular processes; Pattern recognition receptors"
"K10234",4.27198341293037,4.20539219121031,46.5804985566724,1.25611095372392e-08,1.70184972231301e-07,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K11997",5.16047863650596,4.61391029290564,46.6131740003414,1.24544419360588e-08,1.70184972231301e-07,"Intertidal-enriched","Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system"
"K18290",4.63784571134574,4.39365301654401,46.6166598474411,1.24431183692514e-08,1.70184972231301e-07,"Intertidal-enriched","Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism"
"K01995",2.72699765830223,6.61807814644225,40.4299840190381,1.28005126445736e-08,1.72251647322185e-07,"Intertidal-enriched","Environmental Information Processing; Membrane transport; ABC transporters | Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"K19158",4.52156547638625,4.30448732496354,46.477957146873,1.2902074116549e-08,1.72829147370317e-07,"Intertidal-enriched","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"K01745",4.45038114374038,5.45230138026793,40.3828886038139,1.30051516851919e-08,1.73421638082627e-07,"Intertidal-enriched","Metabolism; Amino acid metabolism; Histidine metabolism"
"K00392",5.67406681280743,4.94622988312458,46.4124304762014,1.31249964561684e-08,1.73844817699935e-07,"Intertidal-enriched","Metabolism; Energy metabolism; Sulfur metabolism"
"K03652",4.92981970839244,4.54356826363702,46.4037382684279,1.31548674404769e-08,1.73844817699935e-07,"Intertidal-enriched","Genetic Information Processing; Replication and repair; Base excision repair | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins"
"K01127",5.06827011477153,4.56969198964848,46.3039752380046,1.35028206941518e-08,1.76891314155104e-07,"Intertidal-enriched","Metabolism; Glycan biosynthesis and metabolism; Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"
"K18299",3.66576304286575,4.15669339989409,40.2708824804526,1.3505444752256e-08,1.76891314155104e-07,"Intertidal-enriched","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes"
